"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop ,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Uzbekistan,237281,21.0,1637.0,,234720.0,51.0,924.0,23.0,6919.0,48.0,1377915.0,40181.0,34292965.0,Asia,145.0,20949.0,25.0,0.6,,27.0
Montenegro,231719,106.0,2695.0,2.0,228257.0,110.0,767.0,60.0,368861.0,4290.0,1190834.0,1895626.0,628201.0,Europe,3.0,233.0,1.0,169.0,3.0,1221.0
Mozambique,225188,9.0,2198.0,,221989.0,17.0,1001.0,13.0,6878.0,67.0,1285237.0,39254.0,32741418.0,Africa,145.0,14896.0,25.0,0.3,,31.0
Kyrgyzstan,200758,16.0,2974.0,1.0,195916.0,43.0,1868.0,131.0,29933.0,443.0,1907195.0,284360.0,6706976.0,Asia,33.0,2255.0,4.0,2.0,0.1,279.0
Luxembourg,194846,907.0,1007.0,1.0,182044.0,17.0,11795.0,3.0,302898.0,1565.0,4107467.0,6385272.0,643272.0,Europe,3.0,639.0,0.0,1410.0,2.0,18336.0
Afghanistan,176617,154.0,7649.0,4.0,159007.0,352.0,9961.0,1124.0,4370.0,189.0,906639.0,22432.0,40416563.0,Asia,229.0,5284.0,45.0,4.0,0.1,246.0
Maldives,174658,,297.0,,163687.0,,10674.0,25.0,313733.0,533.0,2213831.0,3976640.0,556709.0,Asia,3.0,1874.0,0.0,,,19173.0
Iceland,165365,2427.0,83.0,2.0,75685.0,,89597.0,6.0,479312.0,241.0,1835985.0,5321619.0,345005.0,Europe,2.0,4157.0,0.0,7035.0,6.0,259698.0
Uganda,163530,13.0,3594.0,,100123.0,6.0,59813.0,11.0,3393.0,75.0,2506821.0,52018.0,48191869.0,Africa,295.0,13409.0,19.0,0.3,,1241.0
Ghana,160761,45.0,1445.0,,159227.0,115.0,89.0,1.0,4997.0,45.0,2376530.0,73865.0,32174072.0,Africa,200.0,22266.0,14.0,1.0,,3.0
Namibia,157458,20.0,4014.0,,155293.0,2224.0,-1849.0,1.0,60121.0,1533.0,969833.0,370301.0,2619037.0,Africa,17.0,652.0,3.0,8.0,,-705.98
El Salvador,156364,,4102.0,1.0,132410.0,,19852.0,153.0,23902.0,627.0,1758939.0,268877.0,6541804.0,North America,42.0,1595.0,4.0,,0.2,3035.0
Laos,147409,722.0,643.0,1.0,7660.0,,139106.0,,19774.0,86.0,1002806.0,134517.0,7454855.0,Asia,51.0,11594.0,7.0,97.0,0.1,18660.0
Martinique,135881,9660.0,905.0,5.0,104.0,,134872.0,8.0,362571.0,2415.0,777358.0,2074221.0,374771.0,North America,3.0,414.0,0.0,25776.0,13.0,359878.0
Cambodia,134352,139.0,3048.0,1.0,129717.0,425.0,1587.0,,7851.0,178.0,2900473.0,169500.0,17111927.0,Asia,127.0,5614.0,6.0,8.0,0.06,93.0
Trinidad and Tobago,133393,242.0,3690.0,4.0,116951.0,1439.0,12752.0,18.0,94794.0,2622.0,651489.0,462973.0,1407187.0,North America,11.0,381.0,2.0,172.0,3.0,9062.0
Guadeloupe,130705,,843.0,,2250.0,,127612.0,19.0,326567.0,2106.0,938039.0,2343691.0,400240.0,North America,3.0,475.0,0.0,,,318839.0
Rwanda,129610,8.0,1458.0,,45522.0,,82630.0,,9603.0,108.0,4985910.0,369404.0,13497163.0,Africa,104.0,9257.0,3.0,0.6,,6122.0
Jamaica,128418,18.0,2851.0,1.0,79633.0,108.0,45934.0,25.0,43048.0,956.0,885522.0,296844.0,2983124.0,North America,23.0,1046.0,3.0,6.0,0.3,15398.0
Cameroon,119322,,1926.0,,117263.0,,133.0,13.0,4313.0,70.0,1751774.0,63315.0,27667397.0,Africa,232.0,14365.0,16.0,,,5.0
Brunei,116882,2511.0,171.0,1.0,89174.0,5413.0,27537.0,,262895.0,385.0,717784.0,1614467.0,444595.0,Asia,4.0,2600.0,1.0,5648.0,2.0,61937.0
Angola,98956,25.0,1900.0,,96935.0,35.0,121.0,,2860.0,55.0,1470711.0,42505.0,34600889.0,Africa,350.0,18211.0,24.0,0.7,,3.0
DRC,86375,31.0,1335.0,,50930.0,,34110.0,,917.0,14.0,846704.0,8990.0,94181358.0,Africa,1090.0,70548.0,111.0,0.3,,362.0
Senegal,85808,2.0,1964.0,,83793.0,8.0,51.0,3.0,4905.0,112.0,1027175.0,58720.0,17492766.0,Africa,204.0,8907.0,17.0,0.1,,3.0
Malawi,85515,11.0,2624.0,1.0,76810.0,58.0,6081.0,67.0,4282.0,131.0,554744.0,27780.0,19968907.0,Africa,234.0,7610.0,36.0,0.6,0.05,305.0
Ivory Coast,81616,18.0,796.0,,80746.0,11.0,74.0,,2969.0,29.0,1448758.0,52707.0,27486942.0,Africa,337.0,34531.0,19.0,0.7,,3.0
Suriname,78793,30.0,1321.0,,49367.0,,28105.0,,132300.0,2218.0,232620.0,390590.0,595561.0,South America,8.0,451.0,3.0,50.0,,47191.0
French Guiana,78220,72.0,394.0,,11254.0,,66572.0,2.0,250849.0,1264.0,604462.0,1938490.0,311821.0,South America,4.0,791.0,1.0,231.0,,213494.0
Malta,73195,194.0,617.0,2.0,70639.0,78.0,1939.0,3.0,165024.0,1391.0,1211456.0,2731328.0,443541.0,Europe,6.0,719.0,0.0,437.0,5.0,4372.0
French Polynesia,70826,390.0,645.0,,,,,7.0,249680.0,2274.0,,,283667.0,Australia/Oceania,4.0,440.0,,1375.0,,129310.0
Eswatini,69478,19.0,1392.0,,68049.0,7.0,37.0,11.0,58851.0,1179.0,487301.0,412768.0,1180568.0,Africa,17.0,848.0,2.0,16.0,,31.0
Fiji,64149,68.0,834.0,,62237.0,,1078.0,,70689.0,919.0,502418.0,553641.0,907480.0,Australia/Oceania,14.0,1088.0,2.0,75.0,,1188.0
Madagascar,63870,,1377.0,,59156.0,,3337.0,23.0,2210.0,48.0,404843.0,14009.0,28899209.0,Africa,452.0,20987.0,71.0,,,115.0
Guyana,63157,10.0,1225.0,,61740.0,18.0,192.0,4.0,79643.0,1545.0,554991.0,699863.0,793000.0,South America,13.0,647.0,1.0,13.0,,242.0
Sudan,61715,2.0,4874.0,2.0,,,,,1354.0,107.0,562941.0,12349.0,45587096.0,Africa,739.0,9353.0,81.0,0.04,0.04,362.0
Channel Islands,59867,2602.0,147.0,,54718.0,1431.0,5002.0,,339027.0,832.0,1226909.0,6947980.0,176585.0,Europe,3.0,1201.0,0.0,14735.0,,28326.0
New Caledonia,59618,196.0,305.0,,57445.0,337.0,1868.0,25.0,205466.0,1051.0,98964.0,341067.0,290160.0,Australia/Oceania,5.0,951.0,3.0,675.0,,6438.0
Mauritania,58660,1.0,981.0,,57659.0,,20.0,30.0,12077.0,202.0,763393.0,157171.0,4857077.0,Africa,83.0,4951.0,6.0,0.2,,4.0
Barbados,57230,128.0,326.0,,55850.0,302.0,1054.0,,198734.0,1132.0,599379.0,2081372.0,287973.0,North America,5.0,883.0,0.0,444.0,,3660.0
Belize,57096,25.0,652.0,,56032.0,30.0,412.0,6.0,139298.0,1591.0,512376.0,1250051.0,409884.0,North America,7.0,629.0,1.0,61.0,,1005.0
Cabo Verde,55911,4.0,401.0,,55453.0,,57.0,23.0,98740.0,708.0,400982.0,708143.0,566244.0,Africa,10.0,1412.0,1.0,7.0,,101.0
Syria,55431,32.0,3118.0,1.0,50181.0,90.0,2132.0,,3042.0,171.0,146269.0,8027.0,18222247.0,Asia,329.0,5844.0,125.0,2.0,0.05,117.0
Gabon,47570,,303.0,,47244.0,,23.0,,20550.0,131.0,1584243.0,684374.0,2314878.0,Africa,49.0,7640.0,1.0,,,10.0
Papua New Guinea,41533,,639.0,,39905.0,,989.0,7.0,4497.0,69.0,249149.0,26979.0,9234779.0,Australia/Oceania,222.0,14452.0,37.0,,,107.0
Seychelles,39761,156.0,163.0,,39367.0,155.0,231.0,,400087.0,1640.0,,,99381.0,Africa,2.0,610.0,,1570.0,,2324.0
Curaçao,39459,,265.0,,38760.0,,434.0,3.0,238808.0,1604.0,494095.0,2990292.0,165233.0,North America,4.0,624.0,0.0,,,2627.0
Andorra,38794,,152.0,,37925.0,,717.0,14.0,500729.0,1962.0,249838.0,3224756.0,77475.0,Europe,2.0,510.0,0.0,,,9255.0
Burundi,38274,,38.0,,773.0,,37463.0,,3064.0,3.0,345742.0,27678.0,12491691.0,Africa,326.0,328729.0,36.0,,,2999.0
Togo,36860,,272.0,,36542.0,,46.0,,4282.0,32.0,703340.0,81707.0,8608073.0,Africa,234.0,31647.0,12.0,,,5.0
Mayotte,36745,,187.0,,2964.0,,33594.0,,129389.0,658.0,176919.0,622981.0,283988.0,Africa,8.0,1519.0,2.0,,,118294.0
Guinea,36435,,440.0,,35950.0,,45.0,8.0,2652.0,32.0,660107.0,48052.0,13737322.0,Africa,377.0,31221.0,21.0,,,3.0
Mauritius,34426,70.0,934.0,,31050.0,272.0,2442.0,,26993.0,732.0,358675.0,281236.0,1275353.0,Africa,37.0,1365.0,4.0,55.0,,1915.0
Faeroe Islands,34237,,28.0,,7693.0,,26516.0,5.0,696185.0,569.0,778000.0,15820082.0,49178.0,Europe,1.0,1756.0,0.0,,,539184.0
Aruba,33796,,212.0,,33522.0,,62.0,4.0,314276.0,1971.0,177885.0,1654190.0,107536.0,North America,3.0,507.0,1.0,,,577.0
Tanzania,33726,,800.0,,,,,7.0,539.0,13.0,,,62621418.0,Africa,1857.0,78277.0,,,,523.0
Bahamas,33198,,773.0,,32112.0,,313.0,92.0,83072.0,1934.0,223897.0,560265.0,399627.0,North America,12.0,517.0,2.0,,,783.0
Lesotho,32775,,697.0,,23900.0,,8178.0,,15096.0,321.0,415510.0,191383.0,2171097.0,Africa,66.0,3115.0,5.0,,,3767.0
Haiti,30473,12.0,827.0,,26710.0,172.0,2936.0,,2618.0,71.0,132422.0,11378.0,11638618.0,North America,382.0,14073.0,88.0,1.0,,252.0
Mali,30428,5.0,726.0,,29585.0,2.0,117.0,,1433.0,34.0,635567.0,29922.0,21240603.0,Africa,698.0,29257.0,33.0,0.2,,6.0
Benin,26575,,163.0,,25506.0,,906.0,5.0,2099.0,13.0,604310.0,47726.0,12662109.0,Africa,476.0,77682.0,21.0,,,72.0
Somalia,26400,,1348.0,,13182.0,,11870.0,,1586.0,81.0,400466.0,24058.0,16645675.0,Africa,631.0,12348.0,42.0,,,713.0
Isle of Man,25236,323.0,81.0,,23643.0,171.0,1512.0,,294136.0,944.0,150753.0,1757089.0,85797.0,Europe,3.0,1059.0,1.0,3765.0,,17623.0
Congo,24049,,378.0,,20178.0,,3493.0,,4183.0,66.0,347815.0,60504.0,5748617.0,Africa,239.0,15208.0,17.0,,,608.0
Saint Lucia,22856,3.0,365.0,,22447.0,2.0,44.0,1.0,123511.0,1972.0,138196.0,746791.0,185053.0,North America,8.0,507.0,1.0,16.0,,238.0
Timor-Leste,22789,,129.0,,22596.0,,64.0,9.0,16743.0,95.0,252951.0,185846.0,1361081.0,Asia,60.0,10551.0,5.0,,,47.0
Taiwan,21402,39.0,853.0,,19303.0,56.0,1246.0,,896.0,36.0,12126224.0,507586.0,23890010.0,Asia,1116.0,28007.0,2.0,2.0,,52.0
